name,wikipedia_id,food_group,food_subgroup
Velvet duck,Velvet Scoter,Animal foods,Poultry
Pepper (C. frutescens),Capsicum_frutescens,Vegetables,Fruit vegetables
Common persimmon,Common_Persimmon,Fruits,Tropical fruits
Pheasant,Pheasant,Animal foods,Poultry
Northern pike,Northern_pike,Aquatic foods,Fishes
Pili nut,Pili_nut,Nuts,Nuts
Colorado pinyon,Colorado_Pinyon,Nuts,Nuts
Pitanga,Eugenia_uniflora,Fruits,Tropical fruits
Plains prickly pear,Opuntia_macrorhiza,Fruits,Tropical fruits
French plantain,Musa í„ paradisiaca,Fruits,Tropical fruits
American pokeweed,Phytolacca americana,Vegetables,Shoot vegetables
Polar bear,Polar_bear,Animal foods,Other mammals
Opium poppy,Opium_poppy,Herbs and Spices,Spices
Prairie turnip,Psoralea esculenta,Vegetables,Root vegetables
Prickly pear,Opuntia,Fruits,Tropical fruits
Quinoa,Quinoa,Herbs and Spices,Other seeds
European rabbit,European_rabbit,Animal foods,Lagomorphs
Raccoon,Raccoon,Animal foods,Other mammals
Rainbow smelt,Rainbow smelt,Aquatic foods,Fishes
Rainbow trout,Rainbow trout,Aquatic foods,Fishes
Malabar plum,Malabar_plum,Fruits,Tropical fruits
Rose hip,Rose hip,Herbs and Spices,Herbs
Roselle,Roselle_(plant),Herbs and Spices,Herbs
Orange roughy,Orange roughy,Aquatic foods,Fishes
Sablefish,Sablefish,Aquatic foods,Fishes
Pink salmon,Pink_salmon,Aquatic foods,Fishes
Chum salmon,Chum_salmon,Aquatic foods,Fishes
Coho salmon,Coho_salmon,Aquatic foods,Fishes
Sockeye salmon,Sockeye_salmon,Aquatic foods,Fishes
Chinook salmon,Chinook salmon,Aquatic foods,Fishes
Atlantic salmon,Atlantic salmon,Aquatic foods,Fishes
Salmonberry,Salmonberry,Fruits,Berries
Common salsify,Tragopogon porrifolius,Vegetables,Root vegetables
Sapodilla,Sapodilla Cayes,Fruits,Tropical fruits
Mamey sapote,Pouteria sapota,Fruits,Tropical fruits
Spanish mackerel,Spanish mackerel,Aquatic foods,Fishes
Pacific sardine,Pacific_sardine,Aquatic foods,Fishes
Scallop,Scallop,Aquatic foods,Mollusks
Scup,Scup,Aquatic foods,Fishes
Sea cucumber,Sea cucumber,Aquatic foods,Other aquatic foods
Steller sea lion,Steller sea lion,Aquatic foods,Pinnipeds
Bearded seal,Bearded_seal,Aquatic foods,Pinnipeds
Ringed seal,Ringed seal,Aquatic foods,Pinnipeds
Seatrout,,Aquatic foods,Fishes
Sesbania flower,Sesbania_bispinosa,Vegetables,Other vegetables
American shad,American shad,Aquatic foods,Fishes
Shark,Shark,Aquatic foods,Fishes
Sheefish,Stenodus leucichthys,Aquatic foods,Fishes
"Sheep (Mutton, Lamb)",Sheep,Animal foods,Ovis
Sheepshead,Archosargus_probatocephalus,Aquatic foods,Fishes
Hedge mustard,Hedge_mustard,Herbs and Spices,Other seeds
Skipjack tuna,Skipjack tuna,Aquatic foods,Fishes
Snapper,Lutjanidae,Aquatic foods,Fishes
Soursop,Soursop,Fruits,Tropical fruits
Spelt,Spelt,Cereals and cereal products,Cereals
Spirulina,,Aquatic foods,Seaweed
Squab,Squab_(food),Animal foods,Poultry
Squirrel,Squirrel,Animal foods,Rodents
Strawberry guava,Strawberry_guava,Fruits,Berries
Greater sturgeon,,Aquatic foods,Fishes
White sucker,White_sucker,Aquatic foods,Fishes
Sugar apple,Sugar_apple,Fruits,Tropical fruits
Pumpkinseed sunfish,Pumpkinseed,Aquatic foods,Fishes
Swordfish,Swordfish,Aquatic foods,Fishes
Taro,Taro,Vegetables,Root vegetables
Teff,Teff,Herbs and Spices,Herbs
Tilefish,Lopholatilus_chamaeleonticeps,Aquatic foods,Fishes
Mexican groundcherry,Mexican_Groundcherry,Vegetables,Fruit vegetables
Towel gourd,Luffa,Gourds,Gourds
"Salmonidae (Salmon, Trout)",Salmonidae,Aquatic foods,Fishes
Turkey,Meleagris_gallopavo,Animal foods,Poultry
"Cattle (Beef, Veal)",Cattle,Animal foods,Bovines
Walleye,Walleye,Aquatic foods,Fishes
Alaska pollock,Alaska pollock,Aquatic foods,Fishes
Wasabi,Wasabi,Herbs and Spices,Spices
Wax gourd,Wax_gourd,Gourds,Gourds
Whelk,Whelk,Aquatic foods,Mollusks
Coalfish pollock,Pollachius_virens,Aquatic foods,Fishes
Broad whitefish,Broad whitefish,Aquatic foods,Fishes
Whitefish,Coregonus,Aquatic foods,Fishes
Whiting,Merlangius_merlangus,Aquatic foods,Fishes
Wild rice,Wild_rice,Cereals and cereal products,Cereals
Tea leaf willow,Salix pulchra,Herbs and Spices,Herbs
Winged bean,Winged bean,Pulses,Beans
Yam,Yam_(vegetable),Vegetables,Tubers
Jicama,Jicama,Vegetables,Root vegetables
Yautia,Xanthosoma sagittifolium,Vegetables,Leaf vegetables
Yellowfin tuna,Yellowfin_tuna,Aquatic foods,Fishes
Yellowtail amberjack,Yellowtail amberjack,Aquatic foods,Fishes
Pollock,Pollock,Aquatic foods,Fishes
Albacore tuna,Albacore_tuna,Aquatic foods,Fishes
Gadus (Common cod),Gadus,Aquatic foods,Fishes
Atlantic halibut,Atlantic halibut,Aquatic foods,Fishes
Pacific halibut,Pacific_halibut,Aquatic foods,Fishes
Pacific salmon,Pacific_salmon,Aquatic foods,Fishes
Smelt,Osmeridae,Aquatic foods,Fishes
"Clupeinae (Herring, Sardine, Sprat)",Clupeinae,Aquatic foods,Fishes
Spiny lobster,Spiny lobster,Aquatic foods,Crustaceans
Snow crab,Snow_crab,Aquatic foods,Crustaceans
Black-eyed pea,Black-eyed pea,Pulses,Peas
Deer,Deer,Animal foods,Venison
Macadamia nut,Macadamia_nut,Nuts,Nuts
Percoidei (Bass and others),Percoidei,Aquatic foods,Fishes
Perciformes (Perch-like fishes),Perciformes,Aquatic foods,Fishes
Arctic ground squirrel,Arctic_ground_squirrel,Animal foods,Rodents
Rabbit,Rabbit,Animal foods,Lagomorphs
Domestic goat,Domestic_goat,Animal foods,Caprae
Beefalo,Beefalo,Animal foods,Bovines
Antelope,Antelope,Animal foods,Venison
"Bivalvia (Clam, Mussel, Oyster)",Bivalvia,Aquatic foods,Mollusks
Squid,Squid,Aquatic foods,Mollusks
Shrimp,Shrimp,Aquatic foods,Crustaceans
Crayfish,Crayfish,Aquatic foods,Crustaceans
Flatfish,Flatfish,Aquatic foods,Fishes
"Domestic pig (Piglet, Pork)",Domestic pig,Animal foods,Swine
Walrus,Walrus,Aquatic foods,Pinnipeds
Alaska wild rhubarb,,Vegetables,Stalk vegetables
Oriental wheat,Khorasan_wheat,Cereals and cereal products,Cereals
Yardlong bean,Vigna unguiculata subsp. sesquipedalis,Pulses,Peas
Great horned owl,Great_horned_owl,Animal foods,Poultry
Quail,Quail,Animal foods,Poultry
Boysenberry,Boysenberry,Fruits,Berries
Persian lime,Persian_lime,Fruits,Citrus
Feijoa,Feijoa,Fruits,Tropical fruits
Rowal,Rowal,Herbs and Spices,Other seeds
Jew's ear,Jew%27s_ear,Vegetables,Mushrooms
Common mushroom,Agaricus bisporus,Vegetables,Mushrooms
Shiitake,Shiitake,Vegetables,Mushrooms
Purple laver,Porphyra,Aquatic foods,Seaweed
Wakame,Wakame,Aquatic foods,Seaweed
Enokitake,Enokitake,Vegetables,Mushrooms
Epazote,Epazote,Herbs and Spices,Herbs
Oyster mushroom,Oyster_mushroom,Vegetables,Mushrooms
Cloud ear fungus,Cloud_ear_fungus,Vegetables,Mushrooms
Maitake,Maitake,Vegetables,Mushrooms
Ostrich fern,Ostrich_fern,Vegetables,Leaf vegetables
Spot croaker,Spot croaker,Aquatic foods,Fishes
Sourdock,Rumex_arcticus,Herbs and Spices,Herbs
Tinda,Tinda,Gourds,Gourds
Atlantic menhaden,Atlantic menhaden,Aquatic foods,Fishes
Wheat,Wheat,Cereals and cereal products,Cereals
Common chokecherry,Common_chokecherry,Fruits,Drupes
Agave,Agave,Vegetables,Other vegetables
Narrowleaf cattail,Narrowleaf_cattail,Vegetables,Other vegetables
Jellyfish,Jellyfish,Aquatic foods,Other aquatic foods
Anchovy,Anchovy,Aquatic foods,Fishes
Blue whiting,Blue whiting,Aquatic foods,Fishes
Carp bream,Carp_bream,Aquatic foods,Fishes
Chanterelle,Chanterelle,Vegetables,Mushrooms
Sturgeon,Sturgeon,Aquatic foods,Fishes
Charr,Salvelinus,Aquatic foods,Fishes
Cinnamon,Cinnamon,Herbs and Spices,Spices
Crab,Crab,Aquatic foods,Crustaceans
Common dab,Common dab,Aquatic foods,Fishes
Spiny dogfish,Spiny dogfish,Aquatic foods,Fishes
"Anatidae (Duck, Goose, Swan)",Anatidae,Animal foods,Poultry
Anguilliformes (Eel),Anguilliformes,Aquatic foods,Fishes
True frog,True frog,Aquatic foods,Amphibians
Garfish,Garfish,Aquatic foods,Fishes
"Gadiformes (Cod, Hake)",Gadiformes,Aquatic foods,Fishes
Mountain hare,Mountain_hare,Animal foods,Lagomorphs
Lake trout,Lake_trout,Aquatic foods,Fishes
Lemon sole,Lemon sole,Aquatic foods,Fishes
Clawed lobster,Clawed_lobster,Aquatic foods,Crustaceans
Lumpsucker,Lumpsucker,Aquatic foods,Fishes
"Scombridae (Bonito, Mackerel, Tuna)",Scombridae,Aquatic foods,Fishes
Marine mussel,Mytilidae,Aquatic foods,Mollusks
Norway haddock,Norway_haddock,Aquatic foods,Fishes
Norway lobster,Norway_lobster,Aquatic foods,Crustaceans
Norway pout,Trisopterus esmarkii,Aquatic foods,Fishes
Oil palm,,Herbs and Spices,Oilseed crops
True oyster,Ostreidae,Aquatic foods,Mollusks
Sago palm,Metroxylon_sagu,Herbs and Spices,Oilseed crops
Persimmon,Persimmon,Fruits,Tropical fruits
Pikeperch,Pikeperch,Aquatic foods,Fishes
"Pleuronectidae (Dab, Halibut, Plaice)",Pleuronectidae,Aquatic foods,Fishes
Rock ptarmigan,Rock_ptarmigan,Animal foods,Poultry
Pacific ocean perch,Pacific ocean perch,Aquatic foods,Fishes
Black salsify,Scorzonera hispanica,Vegetables,Root vegetables
True seal,Earless seal,Aquatic foods,Pinnipeds
Red algae,Red_algae,Aquatic foods,Seaweed
Kombu,Kombu,Aquatic foods,Seaweed
Snail,Snail,Aquatic foods,Mollusks
True sole,True_sole,Aquatic foods,Fishes
Catfish,Catfish,Aquatic foods,Fishes
Thistle,Thistle,Vegetables,Root vegetables
Thunnus (Common tuna),Thunnus,Aquatic foods,Fishes
Walnut,Walnut,Nuts,Nuts
"Cetacea (Dolphin, Porpoise, Whale)",Cetacea,Aquatic foods,Cetaceans
"Columbidae (Dove, Pigeon)",Columbidae,Animal foods,Poultry
Conch,Conch,Aquatic foods,Mollusks
Grape wine,Grape_wine,Beverages,Fermented beverages
Berry wine,,Beverages,Fermented beverages
Other wine,,Beverages,Fermented beverages
Apple cider,Apple_cider,Beverages,Fermented beverages
Liquor,Liquor,Beverages,Distilled beverages
Cheese,Cheese,Milk and milk products,Fermented milk products
Milk (Cow),Milk,Milk and milk products,Unfermented milks
Eggs,Eggs,Eggs,Eggs
Yogurt,,Milk and milk products,Fermented milk products
Bean,Bean,Pulses,Beans
Vodka,Vodka,Beverages,Distilled beverages
Whisky,Whisky,Beverages,Distilled beverages
Ice cream,Ice_cream,Confectioneries,Frozen desserts
Gin,Gin,Beverages,Distilled beverages
Honey,Honey,Confectioneries,Other confectioneries
Liquorice,Liquorice,Confectioneries,Candies
Vinegar,Vinegar,Baking goods,Seasonings
Rum,Rum,Beverages,Distilled beverages
Port wine,Port_wine,Beverages,Fortified wines
Vermouth,Vermouth,Beverages,Fortified wines
Sherry,Sherry,Beverages,Fortified wines
Madeira wine,Madeira_wine,Beverages,Fortified wines
Nougat,Nougat,Confectioneries,Other confectioneries
Toffee,Toffee,Confectioneries,Other confectioneries
Cake,Cake,Confectioneries,Desserts
Pizza,Pizza,Dishes,Other dishes
Ymer,Ymer_(dairy_product),Milk and milk products,Fermented milk products
Other snack food,Snack_food,Snack foods,Snack foods
Crisp bread,Crisp_bread,Cereals and cereal products,Flat breads
Pastry,Pastry,Confectioneries,Desserts
Dragí©e,Dragí©e,Confectioneries,Candies
Chewing gum,Chewing_gum,Confectioneries,Candies
Marzipan,Marzipan,Confectioneries,Other confectioneries
Salad dressing,Salad#Dressings,Baking goods,Dressings
Sauce,Sauce,Baking goods,Sauces
Salt,Salt,Baking goods,Seasonings
Butter,Butter,Milk and milk products,Other milk products
Butter substitute,,Baking goods,Substitutes
Cream,Cream,Milk and milk products,Other milk products
Sugar,Sugar,Baking goods,Sugars
Sausage,Sausage,Dishes,Ground meat
Meatball,Meatball,Dishes,Ground meat
Mustard,Mustard_(condiment),Baking goods,Condiments
Pate,Pí¢tí©,Dishes,Ground meat
Sugar substitute,Sugar_substitute,Baking goods,Substitutes
Meat bouillon,,Baking goods,Baking goods
Other meat product,,Animal foods,Meat products
Whey,Whey,Milk and milk products,Other milk products
Casein,Casein,Milk and milk products,Other milk products
Fruit preserve,Fruit_preserves,Fruits,Fruit products
Leavening agent,Leavening_agent,Baking goods,Baking goods
Marshmallow,Marshmallow,Confectioneries,Candies
Gelatin,Gelatin,Baking goods,Baking goods
Water,Water,Beverages,Waters
Other fish product,Fish_products,Aquatic foods,Fish products
Milk (Human),Milk,Milk and milk products,Unfermented milks
Other beverage,,Beverages,Other beverages
Baby food,Baby food,Baby foods,Baby foods
Dumpling,Dumpling,Dishes,Other dishes
Soup,Soup,Dishes,Other dishes
Other vegetable product,,Vegetables,Vegetable products
Unclassified food or beverage,,Unclassified,Unclassified
Syrup,Syrup,Baking goods,Baking goods
Tallow,Tallow,Fats and oils,Animal fats
Remoulade,Remoulade,Baking goods,Condiments
Chocolate spread,Chocolate spread,Confectioneries,Spreads
Fruit gum,Fruit_Gums,Confectioneries,Candies
Curry powder,Curry powder,Herbs and Spices,Herb and spice mixtures
Other candy,Candy,Confectioneries,Candies
Meringue,Meringue,Confectioneries,Other confectioneries
Lard,Lard,Fats and oils,Animal fats
Other animal fat,Animal_fat,Fats and oils,Animal fats
Other cocoa product,,Cocoa and cocoa products,Cocoa products
Cocoa butter,Cocoa_butter,Cocoa and cocoa products,Cocoa products
Cocoa powder,Cocoa_solids,Cocoa and cocoa products,Cocoa products
Cocoa liquor,Chocolate_liquor,Cocoa and cocoa products,Cocoa products
Chocolate,Types_of_chocolate,Cocoa and cocoa products,Cocoa products
Hot chocolate,Hot_chocolate,Cocoa and cocoa products,Cocoa products
Dried milk,Powdered_milk,Milk and milk products,Other milk products
Milk (Other mammals),Milk,Milk and milk products,Unfermented milks
Kefir,Kefir,Milk and milk products,Fermented milks
Buttermilk,Buttermilk,Milk and milk products,Fermented milks
Other fermented milk,Fermented_milk_products,Milk and milk products,Fermented milks
Soy sauce,Soy_sauce,Soy,Soy products
Miso,Miso,Soy,Soy products
Tofu,Tofu,Soy,Soy products
Zwieback,Zwieback,Cereals and cereal products,Leavened breads
Roe,Roe,Aquatic foods,Roe
Cichlidae (Tilapia),Tilapia,Aquatic foods,Fishes
Icing,Icing_(food),Confectioneries,Other confectioneries
Snack bar,,Snack foods,Snack foods
Green turtle,Green sea turtle,Aquatic foods,Other aquatic foods
Energy drink,Energy_drink,Beverages,Nutritional beverages
Burrito,Burrito,Dishes,Tex-Mex cuisine
Hamburger,Hamburger,Dishes,Sandwiches
Baked beans,Baked_beans,Dishes,Other dishes
Chili,Chili_con_carne,Dishes,Tex-Mex cuisine
Taco,Taco,Dishes,Tex-Mex cuisine
Tortilla,Tortilla,Cereals and cereal products,Flat breads
Nachos,Nachos,Dishes,Tex-Mex cuisine
Processed cheese,Processed_cheese,Milk and milk products,Fermented milk products
Salad,Salad,Dishes,Other dishes
Cream substitute,,Baking goods,Substitutes
Dulce de leche,Dulce_de_leche,Confectioneries,Spreads
Topping,,Baking goods,Baking goods
Sweet custard,Custard,Confectioneries,Milk desserts
Egg roll,Egg_roll,Dishes,Asian cuisine
Heart of palm,Heart_of_palm,Vegetables,Other vegetables
Popcorn,Popcorn,Snack foods,Snack foods
Potato chip,Potato_chip,Snack foods,Snack foods
Tortilla chip,Tortilla_chip,Snack foods,Snack foods
Corn chip,Corn_chip,Snack foods,Snack foods
Hibiscus tea,Hibiscus_tea,Teas,Herbal teas
Stew,Stew,Dishes,Other dishes
Gelatin dessert,Gelatin_dessert,Confectioneries,Desserts
Junket,Junket_(dessert),Confectioneries,Milk desserts
Falafel,Falafel,Dishes,Other dishes
Frybread,Frybread,Dishes,Other dishes
Other frozen dessert,Frozen_dessert,Confectioneries,Frozen desserts
Lasagna,Lasagna,Dishes,Pasta dishes
Morchella (Morel),Morchellaceae,Vegetables,Mushrooms
Pancake,Pancake,Dishes,Other dishes
Pectin,Pectin,Baking goods,Baking goods
Pudding,Pudding,Confectioneries,Desserts
Waffle,Waffle,Dishes,Other dishes
Soy milk,Soy_milk,Soy,Soy products
Meatloaf,Meatloaf,Dishes,Ground meat
Sake,Sake,Beverages,Fermented beverages
Cocktail,List_of_cocktails,Beverages,Alcoholic beverages
Couscous,Couscous,Dishes,Berber cuisine
Bulgur,Bulgur,Cereals and cereal products,Cereal products
Coffee substitute,Coffee_substitute,Baking goods,Substitutes
Coffee mocha,Cafe_mocha,Coffee and coffee products,Coffee products
Chimichanga,Chimichanga,Dishes,Mexican cuisine
Semolina,Semolina,Cereals and cereal products,Cereal products
Tapioca pearl,Tapioca,Baking goods,Baking goods
Tostada,Tostada,Dishes,Mexican cuisine
Quesadilla,Quesadilla,Dishes,Mexican cuisine
Baked potato,Baked_potato,Dishes,Potato dishes
Hot dog,Hot_dog,Dishes,Sandwiches
Spread,Spread_(food),Baking goods,Baking goods
Enchilada,Enchilada,Dishes,Mexican cuisine
Egg substitute,Egg_substitute#Cooking_substitutes,Baking goods,Substitutes
Nutritional drink,Energy drink,Beverages,Nutritional beverages
Other sandwich,Sandwich,Dishes,Sandwiches
Ketchup,Ketchup,Baking goods,Condiments
Breakfast sandwich,Breakfast_sandwich,Dishes,Sandwiches
Adobo,Adobo,Baking goods,Seasonings
Macaroni and cheese,Macaroni_and_cheese,Dishes,Pasta dishes
Butterfat,Butterfat,Milk and milk products,Other milk products
Horned melon,Horned_melon,Gourds,Gourds
Hushpuppy,Hushpuppy,Dishes,American cuisine
Fruit juice,Juice,Beverages,Other beverages
Relish,Relish,Baking goods,Condiments
Other fruit product,,Fruits,Fruit products
Fruit salad,Fruit_salad,Fruits,Fruit products
Soy yogurt,Soy_yogurt,Soy,Soy products
Vegetarian food,Vegetarian cuisine,Dishes,Other dishes
Veggie burger,Veggie_burger,Dishes,Sandwiches
Cold cut,Cold_cut,Dishes,Ground meat
Mixed nuts,Mixed_nuts,Nuts,Nuts
Canola,Canola,Herbs and spices,Oilseed crops
Babassu palm,Attalea_speciosa,Herbs and Spices,Oilseed crops
Cupuaí_u,Cupuaí_u,Herbs and Spices,Oilseed crops
Shea tree,Shea_tree,Herbs and Spices,Oilseed crops
Oil-seed Camellia,Camellia_oleifera,Herbs and Spices,Oilseed crops
Ucuhuba,Virola_surinamensis,Herbs and Spices,Oilseed crops
Phyllo dough,Phyllo,Baking goods,Baking goods
Cooking oil,Cooking_oil,Baking goods,Baking goods
Pie crust,Pie_crust,Baking goods,Wrappers
Pie filling,,Baking goods,Baking goods
Pie,Pie,Confectioneries,Desserts
Shortening,Shortening,Fats and oils,Vegetable fats
Soy cream,,Soy,Soy products
Ice cream cone,Ice_cream_cone,Baking goods,Wrappers
Molasses,Molasses,Baking goods,Baking goods
Cracker,Cracker_(food),Snack foods,Snack foods
Nance,Byrsonima_crassifolia,Fruits,Tropical fruits
Naranjilla,Solanum_quitoense,Fruits,Tropical fruits
Natto,Natto,Soy,Soy products
Ravioli,Ravioli,Dishes,Pasta dishes
Scrapple,Scrapple,Dishes,American cuisine
Other pasta dish,,Dishes,Pasta dishes
Succotash,Succotash,Dishes,American cuisine
Tamale,Tamale,Dishes,Latin American cuisine
Rice cake,Rice_cake,Dishes,Asian cuisine
Tree fern,Cyatheales,Vegetables,Other vegetables
Evaporated milk,Evaporated_milk,Milk and milk products,Other milk products
Flour,Flour,Cereals and cereal products,Cereal products
Akutaq,Akutaq,Confectioneries,Desserts
Dough,Dough,Cereals and cereal products,Doughs
Pita bread,Pita_bread,Cereals and cereal products,Flat breads
Focaccia,Focaccia,Cereals and cereal products,Flat breads
Bagel,Bagel,Cereals and cereal products,Leavened breads
Other bread product,,Cereals and cereal products,Bread products
Piki bread,Piki,Cereals and cereal products,Flat breads
French toast,French_toast,Cereals and cereal products,Leavened breads
Wheat bread,Wheat_bread,Cereals and cereal products,Leavened breads
Rye bread,Rye_bread,Cereals and cereal products,Leavened breads
Oat bread,,Cereals and cereal products,Leavened breads
Potato bread,Potato_bread,Cereals and cereal products,Other breads
Cornbread,Cornbread,Cereals and cereal products,Flat breads
Corn grits,Grits,Cereals and cereal products,Cereal products
Multigrain bread,,Cereals and cereal products,Leavened breads
Rice bread,Rice_bread,Cereals and cereal products,Leavened breads
Pan dulce,Gibraltarian_cuisine#Pan_dulce,Cereals and cereal products,Leavened breads
Raisin bread,Raisin_bread,Cereals and cereal products,Sweet breads
Wonton wrapper,,Baking goods,Wrappers
Trail mix,Trail_mix,Snack foods,Snack foods
Greenthread tea,Thelesperma,Teas,Herbal teas
Fruit-flavor drink,,Beverages,Other beverages
Vegetable juice,Vegetable juice,Beverages,Other beverages
